Date,FnG_Value,Classification
2025-05-28,14,Extreme Fear
2025-05-27,11,Extreme Fear
2025-05-26,20,Extreme Fear
2025-05-25,12,Extreme Fear
2025-05-24,17,Extreme Fear
2025-05-23,9,Extreme Fear
2025-05-22,16,Extreme Fear
2025-05-21,19,Extreme Fear
2025-05-20,26,Fear
2025-05-19,13,Extreme Fear
2025-05-18,17,Extreme Fear
2025-05-17,9,Extreme Fear
2025-05-16,8,Extreme Fear
2025-05-15,5,Extreme Fear
2025-05-14,10,Extreme Fear
2025-05-13,11,Extreme Fear
2025-05-12,12,Extreme Fear
2025-05-11,15,Extreme Fear
2025-05-10,12,Extreme Fear
2025-05-09,5,Extreme Fear
2025-05-08,5,Extreme Fear
2025-05-07,13,Extreme Fear
2025-05-06,5,Extreme Fear
2025-05-05,16,Extreme Fear
2025-05-04,6,Extreme Fear
2025-05-03,11,Extreme Fear
2025-05-02,21,Extreme Fear
2025-05-01,8,Extreme Fear
2025-04-30,10,Extreme Fear
2025-04-29,8,Extreme Fear
2025-04-28,13,Extreme Fear
2025-04-27,6,Extreme Fear
2025-04-26,12,Extreme Fear
2025-04-25,9,Extreme Fear
2025-04-24,5,Extreme Fear
2025-04-23,12,Extreme Fear
2025-04-22,10,Extreme Fear
2025-04-21,19,Extreme Fear
2025-04-20,5,Extreme Fear
2025-04-19,7,Extreme Fear
2025-04-18,13,Extreme Fear
2025-04-17,6,Extreme Fear
2025-04-16,9,Extreme Fear
2025-04-15,5,Extreme Fear
2025-04-14,5,Extreme Fear
2025-04-13,13,Extreme Fear
2025-04-12,9,Extreme Fear
2025-04-11,9,Extreme Fear
2025-04-10,14,Extreme Fear
2025-04-09,9,Extreme Fear
2025-04-08,15,Extreme Fear
2025-04-07,19,Extreme Fear
2025-04-06,10,Extreme Fear
2025-04-05,10,Extreme Fear
2025-04-04,19,Extreme Fear
2025-04-03,15,Extreme Fear
2025-04-02,11,Extreme Fear
2025-04-01,14,Extreme Fear
2025-03-31,6,Extreme Fear
2025-03-30,18,Extreme Fear
2025-03-29,16,Extreme Fear
2025-03-28,18,Extreme Fear
2025-03-27,22,Extreme Fear
2025-03-26,5,Extreme Fear
2025-03-25,27,Fear
2025-03-24,17,Extreme Fear
2025-03-23,27,Fear
2025-03-22,20,Extreme Fear
2025-03-21,14,Extreme Fear
2025-03-20,20,Extreme Fear
2025-03-19,24,Extreme Fear
2025-03-18,17,Extreme Fear
2025-03-17,26,Fear
2025-03-16,22,Extreme Fear
2025-03-15,10,Extreme Fear
2025-03-14,11,Extreme Fear
2025-03-13,16,Extreme Fear
2025-03-12,15,Extreme Fear
2025-03-11,23,Extreme Fear
2025-03-10,19,Extreme Fear
2025-03-09,16,Extreme Fear
2025-03-08,12,Extreme Fear
2025-03-07,23,Extreme Fear
2025-03-06,24,Extreme Fear
2025-03-05,21,Extreme Fear
2025-03-04,13,Extreme Fear
2025-03-03,15,Extreme Fear
2025-03-02,19,Extreme Fear
2025-03-01,7,Extreme Fear
2025-02-28,31,Fear
2025-02-27,45,Neutral
2025-02-26,33,Fear
2025-02-25,28,Fear
2025-02-24,23,Extreme Fear
2025-02-23,27,Fear
2025-02-22,26,Fear
2025-02-21,18,Extreme Fear
2025-02-20,28,Fear
2025-02-19,30,Fear
2025-02-18,32,Fear
2025-02-17,32,Fear
2025-02-16,18,Extreme Fear
2025-02-15,26,Fear
2025-02-14,27,Fear
2025-02-13,24,Extreme Fear
2025-02-12,37,Fear
2025-02-11,30,Fear
2025-02-10,34,Fear
2025-02-09,25,Fear
2025-02-08,32,Fear
2025-02-07,37,Fear
2025-02-06,25,Fear
2025-02-05,23,Extreme Fear
2025-02-04,25,Fear
2025-02-03,41,Fear
2025-02-02,32,Fear
2025-02-01,28,Fear
2025-01-31,64,Greed
2025-01-30,47,Neutral
2025-01-29,40,Fear
2025-01-28,75,Extreme Greed
2025-01-27,38,Fear
2025-01-26,59,Greed
2025-01-25,36,Fear
2025-01-24,53,Neutral
2025-01-23,28,Fear
2025-01-22,44,Fear
2025-01-21,53,Neutral
2025-01-20,43,Fear
2025-01-19,37,Fear
2025-01-18,84,Extreme Greed
2025-01-17,60,Greed
2025-01-16,30,Fear
2025-01-15,73,Greed
2025-01-14,38,Fear
2025-01-13,63,Greed
2025-01-12,63,Greed
2025-01-11,69,Greed
2025-01-10,34,Fear
2025-01-09,51,Neutral
2025-01-08,56,Greed
2025-01-07,49,Neutral
2025-01-06,88,Extreme Greed
2025-01-05,52,Neutral
2025-01-04,51,Neutral
2025-01-03,23,Extreme Fear
2025-01-02,50,Neutral
2025-01-01,55,Neutral
2024-12-31,75,Extreme Greed
2024-12-30,80,Extreme Greed
2024-12-29,97,Extreme Greed
2024-12-28,88,Extreme Greed
2024-12-27,85,Extreme Greed
2024-12-26,89,Extreme Greed
2024-12-25,75,Extreme Greed
2024-12-24,91,Extreme Greed
2024-12-23,88,Extreme Greed
2024-12-22,74,Greed
2024-12-21,87,Extreme Greed
2024-12-20,72,Greed
2024-12-19,85,Extreme Greed
2024-12-18,96,Extreme Greed
2024-12-17,76,Extreme Greed
2024-12-16,84,Extreme Greed
2024-12-15,83,Extreme Greed
2024-12-14,76,Extreme Greed
2024-12-13,84,Extreme Greed
2024-12-12,84,Extreme Greed
2024-12-11,84,Extreme Greed
2024-12-10,86,Extreme Greed
2024-12-09,71,Greed
2024-12-08,72,Greed
2024-12-07,88,Extreme Greed
2024-12-06,84,Extreme Greed
2024-12-05,83,Extreme Greed
2024-12-04,69,Greed
2024-12-03,92,Extreme Greed
2024-12-02,83,Extreme Greed
2024-12-01,72,Greed
2024-11-30,76,Extreme Greed
2024-11-29,85,Extreme Greed
2024-11-28,86,Extreme Greed
2024-11-27,78,Extreme Greed
2024-11-26,87,Extreme Greed
2024-11-25,86,Extreme Greed
2024-11-24,76,Extreme Greed
2024-11-23,86,Extreme Greed
2024-11-22,90,Extreme Greed
2024-11-21,81,Extreme Greed
2024-11-20,74,Greed
2024-11-19,79,Extreme Greed
2024-11-18,84,Extreme Greed
2024-11-17,88,Extreme Greed
2024-11-16,89,Extreme Greed
2024-11-15,83,Extreme Greed
2024-11-14,88,Extreme Greed
2024-11-13,77,Extreme Greed
2024-11-12,78,Extreme Greed
2024-11-11,89,Extreme Greed
2024-11-10,97,Extreme Greed
2024-11-09,83,Extreme Greed
2024-11-08,95,Extreme Greed
2024-11-07,85,Extreme Greed
2024-11-06,90,Extreme Greed
2024-11-05,86,Extreme Greed
2024-11-04,87,Extreme Greed
2024-11-03,84,Extreme Greed
2024-11-02,79,Extreme Greed
2024-11-01,78,Extreme Greed
2024-10-31,55,Neutral
2024-10-30,69,Greed
2024-10-29,55,Neutral
2024-10-28,52,Neutral
2024-10-27,63,Greed
2024-10-26,73,Greed
2024-10-25,58,Greed
2024-10-24,46,Neutral
2024-10-23,69,Greed
2024-10-22,44,Fear
2024-10-21,86,Extreme Greed
2024-10-20,63,Greed
2024-10-19,58,Greed
2024-10-18,60,Greed
2024-10-17,55,Neutral
2024-10-16,70,Greed
2024-10-15,59,Greed
2024-10-14,69,Greed
2024-10-13,72,Greed
2024-10-12,74,Greed
2024-10-11,68,Greed
2024-10-10,97,Extreme Greed
2024-10-09,68,Greed
2024-10-08,68,Greed
2024-10-07,68,Greed
2024-10-06,53,Neutral
2024-10-05,49,Neutral
2024-10-04,73,Greed
2024-10-03,73,Greed
2024-10-02,68,Greed
2024-10-01,66,Greed
2024-09-30,34,Fear
2024-09-29,48,Neutral
2024-09-28,45,Neutral
2024-09-27,36,Fear
2024-09-26,52,Neutral
2024-09-25,38,Fear
2024-09-24,29,Fear
2024-09-23,50,Neutral
2024-09-22,58,Greed
2024-09-21,49,Neutral
2024-09-20,31,Fear
2024-09-19,45,Neutral
2024-09-18,56,Greed
2024-09-17,36,Fear
2024-09-16,38,Fear
2024-09-15,39,Fear
2024-09-14,32,Fear
2024-09-13,48,Neutral
2024-09-12,46,Neutral
2024-09-11,41,Fear
2024-09-10,35,Fear
2024-09-09,48,Neutral
2024-09-08,36,Fear
2024-09-07,43,Fear
2024-09-06,25,Fear
2024-09-05,47,Neutral
2024-09-04,59,Greed
2024-09-03,36,Fear
2024-09-02,42,Fear
2024-09-01,43,Fear
2024-08-31,27,Fear
2024-08-30,29,Fear
2024-08-29,25,Fear
2024-08-28,34,Fear
2024-08-27,37,Fear
2024-08-26,30,Fear
2024-08-25,12,Extreme Fear
2024-08-24,53,Neutral
2024-08-23,19,Extreme Fear
2024-08-22,47,Neutral
2024-08-21,38,Fear
2024-08-20,33,Fear
2024-08-19,28,Fear
2024-08-18,32,Fear
2024-08-17,25,Fear
2024-08-16,33,Fear
2024-08-15,36,Fear
2024-08-14,22,Extreme Fear
2024-08-13,32,Fear
2024-08-12,43,Fear
2024-08-11,17,Extreme Fear
2024-08-10,46,Neutral
2024-08-09,33,Fear
2024-08-08,27,Fear
2024-08-07,17,Extreme Fear
2024-08-06,48,Neutral
2024-08-05,19,Extreme Fear
2024-08-04,29,Fear
2024-08-03,21,Extreme Fear
2024-08-02,5,Extreme Fear
2024-08-01,31,Fear
2024-07-31,26,Fear
2024-07-30,40,Fear
2024-07-29,35,Fear
2024-07-28,33,Fear
2024-07-27,38,Fear
2024-07-26,31,Fear
2024-07-25,41,Fear
2024-07-24,35,Fear
2024-07-23,48,Neutral
2024-07-22,43,Fear
2024-07-21,43,Fear
2024-07-20,45,Neutral
2024-07-19,32,Fear
2024-07-18,32,Fear
2024-07-17,40,Fear
2024-07-16,29,Fear
2024-07-15,47,Neutral
2024-07-14,36,Fear
2024-07-13,34,Fear
2024-07-12,41,Fear
2024-07-11,42,Fear
2024-07-10,29,Fear
2024-07-09,26,Fear
2024-07-08,41,Fear
2024-07-07,43,Fear
2024-07-06,38,Fear
2024-07-05,43,Fear
2024-07-04,28,Fear
2024-07-03,38,Fear
2024-07-02,43,Fear
2024-07-01,29,Fear
2024-06-30,45,Neutral
2024-06-29,51,Neutral
2024-06-28,40,Fear
2024-06-27,36,Fear
2024-06-26,31,Fear
2024-06-25,25,Fear
2024-06-24,24,Extreme Fear
2024-06-23,40,Fear
2024-06-22,33,Fear
2024-06-21,33,Fear
2024-06-20,40,Fear
2024-06-19,40,Fear
2024-06-18,30,Fear
2024-06-17,32,Fear
2024-06-16,41,Fear
2024-06-15,35,Fear
2024-06-14,30,Fear
2024-06-13,36,Fear
2024-06-12,46,Neutral
2024-06-11,31,Fear
2024-06-10,38,Fear
2024-06-09,29,Fear
2024-06-08,37,Fear
2024-06-07,43,Fear
2024-06-06,43,Fear
2024-06-05,45,Neutral
2024-06-04,48,Neutral
2024-06-03,27,Fear
2024-06-02,28,Fear
2024-06-01,56,Greed
2024-05-31,38,Fear
2024-05-30,22,Extreme Fear
2024-05-29,38,Fear
2024-05-28,35,Fear
2024-05-27,35,Fear
2024-05-26,65,Greed
2024-05-25,45,Neutral
2024-05-24,52,Neutral
2024-05-23,36,Fear
2024-05-22,65,Greed
2024-05-21,53,Neutral
2024-05-20,58,Greed
2024-05-19,48,Neutral
2024-05-18,44,Fear
2024-05-17,36,Fear
2024-05-16,44,Fear
2024-05-15,44,Fear
2024-05-14,46,Neutral
2024-05-13,39,Fear
2024-05-12,50,Neutral
2024-05-11,48,Neutral
2024-05-10,42,Fear
2024-05-09,59,Greed
2024-05-08,49,Neutral
2024-05-07,35,Fear
2024-05-06,47,Neutral
2024-05-05,41,Fear
2024-05-04,43,Fear
2024-05-03,33,Fear
2024-05-02,43,Fear
2024-05-01,42,Fear
2024-04-30,63,Greed
2024-04-29,29,Fear
2024-04-28,34,Fear
2024-04-27,56,Greed
2024-04-26,54,Neutral
2024-04-25,49,Neutral
2024-04-24,46,Neutral
2024-04-23,35,Fear
2024-04-22,55,Neutral
2024-04-21,42,Fear
2024-04-20,48,Neutral
2024-04-19,48,Neutral
2024-04-18,40,Fear
2024-04-17,28,Fear
2024-04-16,62,Greed
2024-04-15,46,Neutral
2024-04-14,64,Greed
2024-04-13,27,Fear
2024-04-12,42,Fear
2024-04-11,62,Greed
2024-04-10,69,Greed
2024-04-09,32,Fear
2024-04-08,53,Neutral
2024-04-07,37,Fear
2024-04-06,41,Fear
2024-04-05,59,Greed
2024-04-04,70,Greed
2024-04-03,52,Neutral
2024-04-02,49,Neutral
2024-04-01,38,Fear
2024-03-31,64,Greed
2024-03-30,77,Extreme Greed
2024-03-29,57,Greed
2024-03-28,77,Extreme Greed
2024-03-27,81,Extreme Greed
2024-03-26,77,Extreme Greed
2024-03-25,60,Greed
2024-03-24,64,Greed
2024-03-23,94,Extreme Greed
2024-03-22,78,Extreme Greed
2024-03-21,93,Extreme Greed
2024-03-20,85,Extreme Greed
2024-03-19,75,Extreme Greed
2024-03-18,57,Greed
2024-03-17,66,Greed
2024-03-16,60,Greed
2024-03-15,88,Extreme Greed
2024-03-14,84,Extreme Greed
2024-03-13,68,Greed
2024-03-12,91,Extreme Greed
2024-03-11,84,Extreme Greed
2024-03-10,87,Extreme Greed
2024-03-09,75,Extreme Greed
2024-03-08,95,Extreme Greed
2024-03-07,97,Extreme Greed
2024-03-06,78,Extreme Greed
2024-03-05,89,Extreme Greed
2024-03-04,79,Extreme Greed
2024-03-03,93,Extreme Greed
2024-03-02,70,Greed
2024-03-01,81,Extreme Greed
2024-02-29,81,Extreme Greed2025-07-02,17,Extreme Fear
2025-07-01,14,Extreme Fear
2025-06-30,10,Extreme Fear
2025-06-29,17,Extreme Fear
2025-06-28,14,Extreme Fear
2025-06-27,5,Extreme Fear
2025-06-26,5,Extreme Fear
2025-06-25,12,Extreme Fear
2025-06-24,11,Extreme Fear
2025-06-23,5,Extreme Fear
2025-06-22,5,Extreme Fear
2025-06-21,10,Extreme Fear
2025-06-20,15,Extreme Fear
2025-06-19,24,Extreme Fear
2025-06-18,30,Fear
2025-06-17,21,Extreme Fear
2025-06-16,11,Extreme Fear
2025-06-15,16,Extreme Fear
2025-06-14,17,Extreme Fear
2025-06-13,11,Extreme Fear
2025-06-12,5,Extreme Fear
2025-06-11,5,Extreme Fear
2025-06-10,5,Extreme Fear
2025-06-09,5,Extreme Fear
2025-06-08,13,Extreme Fear
2025-06-07,18,Extreme Fear
2025-06-06,23,Extreme Fear
2025-06-05,15,Extreme Fear
2025-06-04,24,Extreme Fear
2025-06-03,14,Extreme Fear
2025-06-02,23,Extreme Fear
2025-06-01,23,Extreme Fear
2025-05-31,29,Fear
2025-05-30,26,Fear
2025-05-29,19,Extreme Fear
2025-05-28,14,Extreme Fear
2025-05-27,11,Extreme Fear
2025-05-26,20,Extreme Fear
2025-05-25,12,Extreme Fear
2025-05-24,17,Extreme Fear
2025-05-23,9,Extreme Fear
2025-05-22,16,Extreme Fear
2025-05-21,19,Extreme Fear
2025-05-20,26,Fear
